date,France,Italy,US,Vietnam
7/10/20,200569,242639,3189550,370
7/11/20,200569,242827,3249989,370
7/12/20,200569,243061,3310121,372
7/13/20,201755,243230,3369485,373
7/14/20,201755,243344,3435147,373
7/15/20,202383,243506,3501173,381
7/16/20,202819,243736,3571987,381
7/17/20,203516,243967,3638459,382
7/18/20,203516,244216,3702781,382
7/19/20,203516,244434,3761713,383
7/20/20,205308,244624,3822376,384
7/21/20,205773,244752,3890570,401
7/22/20,206641,245032,3958115,408
7/23/20,207650,245338,4026001,412
7/24/20,208553,245590,4101148,415
7/25/20,208553,245864,4165348,417
7/26/20,208553,246118,4221187,420
7/27/20,210821,246286,4280911,431
7/28/20,211337,246488,4345741,446
7/29/20,212676,246776,4409869,459
7/30/20,213927,247158,4479110,509
7/31/20,215135,247537,4543686,558
8/1/20,215135,247832,4601264,590
8/2/20,215135,248070,4648373,621
8/3/20,218351,248229,4690057,652
8/4/20,219253,248419,4751714,672
8/5/20,220874,248803,4806062,717
8/6/20,222398,249204,4866242,750
8/7/20,224602,249756,4926829,789
8/8/20,224602,250103,4990762,812
8/9/20,224602,250566,5045029,841
8/10/20,229203,250825,5096646,847
8/11/20,230540,251237,5153601,866
8/12/20,232966,251713,5208845,883
8/13/20,235540,252235,5260501,911
8/14/20,238240,252809,5330626,930
8/15/20,241371,253438,5383022,951
8/16/20,244335,253915,5417684,964
8/17/20,244761,254235,5455533,983
8/18/20,246821,254636,5500435,989
8/19/20,250539,255278,5546319,994
8/20/20,255214,256118,5591447,1007
8/21/20,259717,257065,5639038,1009
8/22/20,263129,258136,5684711,1014
8/23/20,267589,259345,5716622,1016
8/24/20,269452,260298,5750545,1022
8/25/20,272643,261174,5793218,1029
8/26/20,272643,262540,5835291,1034
8/27/20,283698,263949,5885809,1036
8/28/20,290929,265409,5932279,1038
8/29/20,296265,266853,5975381,1040
8/30/20,301554,268218,6009512,1040
8/31/20,304349,269214,6042874,1044
9/1/20,309247,270189,6084852,1044
9/2/20,316047,271515,6124813,1046
9/3/20,322935,272912,6169954,1046
9/4/20,331578,274644,6218288,1049
9/5/20,340013,276338,6261911,1049
9/6/20,346921,277634,6291030,1049
9/7/20,351017,278784,6315593,1049
9/8/20,357473,280153,6342337,1054
9/9/20,365025,281583,6375975,1059
9/10/20,374586,283180,6415423,1059
9/11/20,383854,284796,6460046,1060
9/12/20,394270,286297,6505629,1060
9/13/20,400533,287753,6545920,1063
9/14/20,406609,288761,6578485,1063
9/15/20,414196,289990,6615663,1063
9/16/20,423924,291442,6653955,1063
9/17/20,433871,293025,6699274,1066
9/18/20,446961,294932,6749459,1068
9/19/20,460328,296569,6795236,1068
9/20/20,470864,298156,6836846,1068
9/21/20,476162,299506,6868889,1068
9/22/20,485929,300897,6907160,1068
9/23/20,497914,302537,6948280,1069
9/24/20,513732,304323,6997163,1069
9/25/20,529501,306235,7044300,1069
9/26/20,543688,308104,7087847,1069
9/27/20,554304,309870,7121626,1074
9/28/20,558374,311364,7159365,1077
9/29/20,566196,313011,7201398,1094
9/30/20,578769,314861,7240030,1094
10/1/20,591783,317409,7286274,1095
10/2/20,603920,319908,7339717,1096
10/3/20,620330,322751,7388997,1096
10/4/20,632834,325329,7422128,1096
10/5/20,637918,327586,7459485,1097
10/6/20,648116,330263,7504030,1098
10/7/20,666849,333940,7553167,1099
10/8/20,684164,338398,7611057,1100
10/9/20,704478,343770,7666136,1105
10/10/20,731155,349494,7721503,1107
10/11/20,747092,354950,7768403,1109
10/12/20,755597,359569,7810483,1110
10/13/20,768380,365467,7860606,1113
10/14/20,790959,372799,7919048,1122
10/15/20,820685,381602,7982585,1124
10/16/20,845740,391611,8052759,1124
10/17/20,877840,402536,8107591,1126
10/18/20,907677,414241,8159761,1134
10/19/20,920916,423578,8227643,1140
10/20/20,941085,434449,8289379,1141
10/21/20,967717,449648,8350085,1144
10/22/20,1008483,465726,8429706,1148
10/23/20,1050468,484869,8511366,1148
10/24/20,1095708,504509,8589742,1160
10/25/20,1102262,525782,8650717,1168
10/26/20,1174279,542789,8715281,1169
10/27/20,1207430,564778,8792504,1172
10/28/20,1243855,589766,8878980,1173
10/29/20,1290446,616595,8970272,1177
10/30/20,1339640,647674,9070121,1177
10/31/20,1374691,679430,9157464,1180
11/1/20,1420870,709335,9235294,1180
11/2/20,1525184,731588,9317101,1192
11/3/20,1597139,759829,9441867,1202
11/4/20,1549838,790377,9542129,1203
11/5/20,1607147,824879,9670210,1207
11/6/20,1667604,862681,9797266,1212
11/7/20,1754202,902490,9924330,1213
11/8/20,1792764,935104,10044004,1213
11/9/20,1812919,960373,10160960,1215
11/10/20,1834515,995463,10297513,1226
11/11/20,1870380,1028424,10445196,1252
11/12/20,1902644,1066401,10603992,1253
11/13/20,1926314,1107303,10783509,1256
11/14/20,1958235,1144552,10947559,1265
11/15/20,1985427,1178529,11087274,1281
11/16/20,1994728,1205881,11240361,1283
11/17/20,2039938,1238072,11405008,1288
11/18/20,2068297,1272352,11576978,1300
11/19/20,2088784,1308528,11769279,1304
11/20/20,2111646,1345767,11970945,1305
11/21/20,2129287,1380531,12150763,1306
11/22/20,2142417,1408868,12297350,1307
11/23/20,2146869,1431795,12478861,1312
11/24/20,2155722,1455022,12652422,1316
11/25/20,2171967,1480874,12832633,1321
11/26/20,2184846,1509875,12949882,1331
11/27/20,2197283,1538217,13164518,1339
11/28/20,2209739,1564532,13332741,1341
11/29/20,2219502,1585178,13473085,1343
11/30/20,2223393,1601554,13627998,1347
12/1/20,2231344,1620901,13825113,1351
12/2/20,2245324,1641610,14021274,1358
12/3/20,2257894,1664829,14241499,1361
12/4/20,2269080,1688939,14476871,1361
12/5/20,2281889,1709991,14698878,1365
