code,name,freq,listed_in,amount
GTM,Guatemala,1,"International Movies",1
GBR,"United Kingdom",471,"TV Horror",2
GBR,"United Kingdom",471,"TV Thrillers",1
MYS,Malaysia,19,"Action & Adventure",3
THA,Thailand,51,Comedies,12
THA,Thailand,51,Thrillers,2
NOR,Norway,17,"Action & Adventure",2
NOR,Norway,17,"International Movies",11
HKG,"Hong Kong",96,"Children & Family Movies",1
NZL,"New Zealand",17,"Kids' TV",4
NZL,"New Zealand",17,"TV Action & Adventure",1
AUS,Australia,97,"TV Action & Adventure",1
NZL,"New Zealand",17,"TV Sci-Fi & Fantasy",1
AUS,Australia,97,"TV Sci-Fi & Fantasy",1
IDN,Indonesia,49,"Action & Adventure",5
ZAF,"South Africa",25,Documentaries,4
DEU,Germany,122,Movies,2
ESP,Spain,155,Movies,3
GBR,"United Kingdom",471,Movies,3
ITA,Italy,55,"British TV Shows",1
GRC,Greece,4,"British TV Shows",1
ITA,Italy,55,Docuseries,2
GRC,Greece,4,Docuseries,1
ITA,Italy,55,"International TV Shows",2
GRC,Greece,4,"International TV Shows",1
ESP,Spain,155,"Kids' TV",1
SWE,Sweden,26,"Cult Movies",1
FRA,France,227,"Cult Movies",3
DNK,Denmark,30,"Cult Movies",1
SWE,Sweden,26,"Independent Movies",4
SWE,Sweden,26,Thrillers,3
TUR,Turkey,79,"TV Thrillers",2
IRN,Iran,4,Dramas,3
IRN,Iran,4,"Independent Movies",2
CAN,Canada,228,"Music & Musicals",8
IRL,Ireland,24,"Independent Movies",3
TUR,Turkey,79,"TV Horror",1
PAK,Pakistan,23,"Horror Movies",1
ZAF,"South Africa",25,"Faith & Spirituality",1
MEX,Mexico,107,"Children & Family Movies",2
BEL,Belgium,59,"Romantic Movies",2
AUS,Australia,97,"LGBTQ Movies",2
THA,Thailand,51,"LGBTQ Movies",3
ISR,Israel,20,Thrillers,2
JPN,Japan,161,"TV Action & Adventure",3
MEX,Mexico,107,Thrillers,2
CZE,"Czech Republic",14,"Cult Movies",1
KOR,"South Korea",133,"Cult Movies",1
IND,India,748,"Faith & Spirituality",4
IRQ,Iraq,2,Documentaries,2
IRQ,Iraq,2,"International Movies",2
ARE,"United Arab Emirates",19,"Horror Movies",1
AUS,Australia,97,"Faith & Spirituality",1
BEL,Belgium,59,"Cult Movies",1
SGP,Singapore,25,"Independent Movies",1
CHN,China,111,Documentaries,4
CHL,Chile,22,"International TV Shows",3
CHL,Chile,22,"Spanish-Language TV Shows",3
CHL,Chile,22,"TV Dramas",2
BRA,Brazil,56,"Children & Family Movies",3
IND,India,748,"Teen TV Shows",1
ARG,Argentina,61,Movies,1
MEX,Mexico,107,Movies,1
AUS,Australia,97,"Science & Nature TV",5
NOR,Norway,17,"Children & Family Movies",1
NOR,Norway,17,Documentaries,3
NOR,Norway,17,"International TV Shows",4
NOR,Norway,17,"TV Dramas",3
NOR,Norway,17,"TV Thrillers",1
CHE,Switzerland,15,"Children & Family Movies",1
BEL,Belgium,59,"Children & Family Movies",4
VNM,Vietnam,4,Comedies,2
BEL,Belgium,59,"LGBTQ Movies",2
NLD,Netherlands,31,"LGBTQ Movies",2
IND,India,748,"Crime TV Shows",5
BGD,Bangladesh,2,Dramas,2
BGD,Bangladesh,2,"Independent Movies",2
BGD,Bangladesh,2,"International Movies",2
SGP,Singapore,25,Thrillers,3
VNM,Vietnam,4,"Horror Movies",1
VNM,Vietnam,4,Thrillers,1
ISL,Iceland,6,"Crime TV Shows",1
ISL,Iceland,6,"International TV Shows",1
ISL,Iceland,6,"TV Dramas",1
NLD,Netherlands,31,"Sci-Fi & Fantasy",2
KOR,"South Korea",133,"TV Comedies",4
PER,Peru,9,Comedies,3
USA,"United States",2054,"TV Thrillers",5
ARG,Argentina,61,"TV Horror",1
CHE,Switzerland,15,"Independent Movies",3
ITA,Italy,55,"Independent Movies",2
DEU,Germany,122,Docuseries,4
DEU,Germany,122,"Science & Nature TV",2
ESP,Spain,155,"Science & Nature TV",1
IRL,Ireland,24,"Children & Family Movies",3
ESP,Spain,155,"LGBTQ Movies",3
DEU,Germany,122,"Horror Movies",2
NZL,"New Zealand",17,Documentaries,4
NZL,"New Zealand",17,"Sports Movies",2
MEX,Mexico,107,"TV Action & Adventure",2
FRA,France,227,"LGBTQ Movies",1
TUR,Turkey,79,"Independent Movies",2
LBN,Lebanon,9,"Children & Family Movies",1
LBN,Lebanon,9,Dramas,2
CHL,Chile,22,"Crime TV Shows",1
GBR,"United Kingdom",1,Documentaries,1
GBR,"United Kingdom",1,"International Movies",1
HKG,"Hong Kong",96,"TV Comedies",1
HKG,"Hong Kong",96,"TV Dramas",3
DNK,Denmark,30,"Action & Adventure",3
PHL,Philippines,45,"Action & Adventure",5
ROU,Romania,5,Comedies,3
ROU,Romania,5,"International Movies",5
HKG,"Hong Kong",96,"Crime TV Shows",2
MAR,Morocco,6,Dramas,4
MAR,Morocco,6,"Faith & Spirituality",2
ARG,Argentina,61,"Cult Movies",1
ZWE,Zimbabwe,2,Documentaries,2
NAM,Namibia,1,Documentaries,1
PAK,Pakistan,23,"Romantic Movies",4
ISR,Israel,20,Docuseries,3
ROU,Romania,5,"Romantic Movies",1
HKG,"Hong Kong",96,Thrillers,2
BRA,Brazil,56,"Action & Adventure",3
IDN,Indonesia,49,"Sports Movies",4
IDN,Indonesia,49,"Children & Family Movies",3
CHN,China,111,"Cult Movies",1
HKG,"Hong Kong",96,"Cult Movies",4
ZAF,"South Africa",25,"Independent Movies",3
ROU,Romania,5,"Sci-Fi & Fantasy",1
ROU,Romania,5,Thrillers,1
ZWE,Zimbabwe,2,"International Movies",1
ITA,Italy,55,"Horror Movies",1
THA,Thailand,51,"Sports Movies",2
SGP,Singapore,25,"Action & Adventure",4
SGP,Singapore,25,"Cult Movies",1
DEU,Germany,122,"Cult Movies",1
LVA,Latvia,1,Dramas,1
FIN,Finland,6,Dramas,2
LVA,Latvia,1,"International Movies",1
ISR,Israel,20,"Crime TV Shows",3
ISR,Israel,20,"TV Comedies",1
THA,Thailand,51,"Faith & Spirituality",3
KOR,"South Korea",133,"Horror Movies",3
TUR,Turkey,79,"TV Comedies",1
SGP,Singapore,25,"Kids' TV",1
SGP,Singapore,25,"TV Comedies",2
EGY,Egypt,53,"Horror Movies",1
THA,Thailand,51,Documentaries,3
URY,Uruguay,7,Comedies,1
MWI,Malawi,1,"Children & Family Movies",1
MWI,Malawi,1,Dramas,1
MWI,Malawi,1,"Independent Movies",1
DNK,Denmark,30,"Kids' TV",1
CHN,China,111,"Anime Features",1
NOR,Norway,17,"Crime TV Shows",1
DNK,Denmark,30,"International TV Shows",3
DNK,Denmark,30,"TV Dramas",3
SWE,Sweden,26,Comedies,4
JPN,Japan,161,"Independent Movies",3
CHL,Chile,22,"Stand-Up Comedy",3
ITA,Italy,55,"Sports Movies",1
IRL,Ireland,24,Documentaries,6
JOR,Jordan,6,Comedies,1
ARG,Argentina,61,"Action & Adventure",3
ARG,Argentina,61,"Horror Movies",3
MEX,Mexico,107,"Music & Musicals",1
PAK,Pakistan,23,"Action & Adventure",2
FRA,France,227,"Music & Musicals",2
HUN,Hungary,3,"Action & Adventure",2
HUN,Hungary,3,Dramas,2
HUN,Hungary,3,"International Movies",2
LKA,"Sri Lanka",1,Documentaries,1
LKA,"Sri Lanka",1,"International Movies",1
BEL,Belgium,59,"Music & Musicals",2
POL,Poland,24,"Crime TV Shows",2
POL,Poland,24,"International TV Shows",3
POL,Poland,24,"TV Dramas",2
HKG,"Hong Kong",96,"Sci-Fi & Fantasy",3
TWN,Taiwan,72,"TV Sci-Fi & Fantasy",1
SRB,Serbia,4,"Action & Adventure",1
SRB,Serbia,4,"Sci-Fi & Fantasy",2
CZE,"Czech Republic",14,"Crime TV Shows",2
CZE,"Czech Republic",14,Docuseries,4
CZE,"Czech Republic",14,"International TV Shows",2
MAR,Morocco,6,"Independent Movies",1
KHM,Cambodia,3,Dramas,1
UGA,Uganda,1,Documentaries,1
UKR,Ukraine,2,Documentaries,1
UKR,Ukraine,2,"International Movies",1
ROU,Romania,5,Dramas,2
THA,Thailand,51,"TV Horror",1
ZAF,"South Africa",25,"British TV Shows",1
ZAF,"South Africa",25,"International TV Shows",2
AUS,Australia,97,"Romantic TV Shows",2
ZAF,"South Africa",25,"Romantic TV Shows",1
CHN,China,111,"Crime TV Shows",3
CUB,Cuba,1,"Crime TV Shows",1
CUB,Cuba,1,"International TV Shows",1
CUB,Cuba,1,"Spanish-Language TV Shows",1
CHN,China,111,"Faith & Spirituality",1
BEL,Belgium,59,"Sci-Fi & Fantasy",1
KOR,"South Korea",133,"Reality TV",1
ITA,Italy,55,"Children & Family Movies",2
ITA,Italy,55,"Music & Musicals",3
ARG,Argentina,61,"Romantic Movies",3
CHL,Chile,22,Thrillers,1
BEL,Belgium,59,"Crime TV Shows",4
BEL,Belgium,59,"International TV Shows",5
BEL,Belgium,59,"TV Dramas",4
CAN,Canada,228,"TV Mysteries",1
CAN,Canada,228,"TV Sci-Fi & Fantasy",1
NOR,Norway,17,Docuseries,1
NOR,Norway,17,"Science & Nature TV",1
ECU,Ecuador,1,Documentaries,1
BMU,Bermuda,1,Documentaries,1
GHA,Ghana,1,Dramas,1
GHA,Ghana,1,"Independent Movies",1
GHA,Ghana,1,"International Movies",1
PER,Peru,9,"Romantic Movies",1
IRL,Ireland,24,"Horror Movies",2
COL,Colombia,30,"Sci-Fi & Fantasy",1
BGR,Bulgaria,7,"Sci-Fi & Fantasy",1
NLD,Netherlands,31,"Kids' TV",1
IRL,Ireland,24,"Crime TV Shows",1
IRL,Ireland,24,"International TV Shows",2
IRL,Ireland,24,"TV Dramas",1
TWN,Taiwan,72,"Romantic Movies",2
ISR,Israel,20,Comedies,2
ISR,Israel,20,"Faith & Spirituality",1
COL,Colombia,30,"TV Dramas",4
QAT,Qatar,4,Dramas,3
QAT,Qatar,4,"Independent Movies",1
HKG,"Hong Kong",96,"Sports Movies",1
PRY,Paraguay,1,"Action & Adventure",1
PRY,Paraguay,1,"International Movies",1
CHL,Chile,22,"Action & Adventure",1
NLD,Netherlands,31,"Action & Adventure",1
EGY,Egypt,53,"Children & Family Movies",1
CAN,Canada,228,"Faith & Spirituality",2
POL,Poland,24,Docuseries,1
HUN,Hungary,3,"Sci-Fi & Fantasy",1
TUR,Turkey,79,"TV Mysteries",1
ISL,Iceland,6,"Independent Movies",2
ISL,Iceland,6,"Sci-Fi & Fantasy",1
ARE,"United Arab Emirates",19,"Independent Movies",2
AUS,Australia,97,"Stand-Up Comedy",1
FRA,France,227,"TV Mysteries",2
KAZ,Kazakhstan,1,"Children & Family Movies",1
MEX,Mexico,107,"Reality TV",1
SVK,Slovakia,1,Dramas,1
SVK,Slovakia,1,"International Movies",1
PER,Peru,9,"Sports Movies",1
CHL,Chile,22,"Sports Movies",1
THA,Thailand,51,"Music & Musicals",1
HKG,"Hong Kong",96,"Independent Movies",3
IRL,Ireland,24,"Sports Movies",2
CYM,"Cayman Islands",1,"Children & Family Movies",1
CYM,"Cayman Islands",1,Comedies,1
DNK,Denmark,30,Comedies,1
NOR,Norway,17,Comedies,1
ISL,Iceland,6,"International Movies",3
JPN,Japan,161,"TV Shows",1
JPN,Japan,161,"TV Horror",1
EGY,Egypt,53,"TV Comedies",2
IND,India,748,"Classic Movies",2
CZE,"Czech Republic",14,"British TV Shows",1
CZE,"Czech Republic",14,"Science & Nature TV",1
PER,Peru,9,Dramas,1
DEU,Germany,122,"Stand-Up Comedy",2
TWN,Taiwan,72,"Action & Adventure",2
DNK,Denmark,30,"TV Comedies",1
FIN,Finland,6,"Crime TV Shows",1
FIN,Finland,6,"International TV Shows",1
FIN,Finland,6,"TV Dramas",1
TUR,Turkey,79,"Music & Musicals",1
JPN,Japan,161,"TV Mysteries",3
AUS,Australia,97,"Cult Movies",1
GRC,Greece,4,Dramas,2
GRC,Greece,4,"Independent Movies",2
CZE,"Czech Republic",14,Thrillers,1
TWN,Taiwan,72,"TV Mysteries",1
ISL,Iceland,6,"Action & Adventure",1
QAT,Qatar,4,Comedies,1
LBN,Lebanon,9,Comedies,1
LBN,Lebanon,9,"International Movies",1
BEL,Belgium,59,"TV Sci-Fi & Fantasy",1
FRA,France,227,"TV Sci-Fi & Fantasy",1
IRL,Ireland,24,"British TV Shows",1
IRL,Ireland,24,"TV Action & Adventure",1
GRC,Greece,4,Comedies,1
GRC,Greece,4,"International Movies",1
GRC,Greece,4,"Romantic Movies",1
FIN,Finland,6,Documentaries,2
IDN,Indonesia,49,Documentaries,1
ZAF,"South Africa",25,"TV Dramas",1
ITA,Italy,55,"TV Dramas",2
DNK,Denmark,30,"Crime TV Shows",1
MYS,Malaysia,19,"TV Dramas",1
SWE,Sweden,26,"Action & Adventure",1
THA,Thailand,51,Docuseries,1
LBN,Lebanon,9,"Crime TV Shows",2
BRA,Brazil,56,"Romantic TV Shows",1
URY,Uruguay,7,"Sports Movies",1
CAN,Canada,228,"Science & Nature TV",2
NZL,"New Zealand",17,Docuseries,1
NZL,"New Zealand",17,"International TV Shows",1
PHL,Philippines,45,"International TV Shows",1
PHL,Philippines,45,"TV Dramas",1
RUS,Russia,17,Documentaries,2
RUS,Russia,17,"Sports Movies",1
ISR,Israel,20,"Sports Movies",1
PRT,Portugal,4,"Sports Movies",1
NLD,Netherlands,31,"International TV Shows",2
NLD,Netherlands,31,"TV Dramas",2
ISL,Iceland,6,"Horror Movies",1
SAU,"Saudi Arabia",2,Comedies,1
SAU,"Saudi Arabia",2,"International Movies",1
SAU,"Saudi Arabia",2,"Romantic Movies",1
KOR,"South Korea",133,"Independent Movies",2
POL,Poland,24,Documentaries,1
SVN,Slovenia,3,"Horror Movies",1
SRB,Serbia,4,"Horror Movies",1
SRB,Serbia,4,"Independent Movies",1
SVN,Slovenia,3,"Sci-Fi & Fantasy",1
BRA,Brazil,56,"Science & Nature TV",1
AUT,Austria,7,"Sports Movies",1
LUX,Luxembourg,7,"Independent Movies",1
JPN,Japan,161,"Stand-Up Comedy & Talk Shows",1
FRA,France,227,"TV Action & Adventure",1
BEL,Belgium,59,"TV Mysteries",1
MEX,Mexico,107,"LGBTQ Movies",1
MEX,Mexico,107,"TV Comedies",1
TWN,Taiwan,72,Documentaries,1
TWN,Taiwan,72,"Sports Movies",1
KOR,"South Korea",133,"Music & Musicals",1
GBR,"United Kingdom",471,"Stand-Up Comedy & Talk Shows",1
GEO,Georgia,2,Dramas,1
GEO,Georgia,2,"Independent Movies",1
GEO,Georgia,2,"International Movies",2
CZE,"Czech Republic",14,Documentaries,1
CZE,"Czech Republic",14,"Sports Movies",1
JOR,Jordan,6,Documentaries,1
ARM,Armenia,1,Documentaries,1
ARM,Armenia,1,"International Movies",1
DOM,"Dominican Republic",2,"Horror Movies",1
DOM,"Dominican Republic",2,Thrillers,1
BRA,Brazil,56,"LGBTQ Movies",2
IRL,Ireland,24,"Action & Adventure",1
ALB,Albania,1,Dramas,1
ALB,Albania,1,"International Movies",1
KHM,Cambodia,3,"Action & Adventure",1
KHM,Cambodia,3,"International Movies",1
NIC,Nicaragua,1,Documentaries,1
IND,India,748,"Stand-Up Comedy",1
PHL,Philippines,45,"Sports Movies",1
SWE,Sweden,26,"Romantic Movies",1
DNK,Denmark,30,"Romantic Movies",1
NOR,Norway,17,"Romantic Movies",1
BGR,Bulgaria,7,"Children & Family Movies",1
EGY,Egypt,53,Documentaries,1
NZL,"New Zealand",17,Comedies,1
PAN,Panama,1,Documentaries,1
PAN,Panama,1,"Sports Movies",1
JPN,Japan,161,"Sports Movies",1
IND,India,748,"Reality TV",1
ARE,"United Arab Emirates",19,Documentaries,2
IDN,Indonesia,49,"International TV Shows",1
IDN,Indonesia,49,"Romantic TV Shows",1
IDN,Indonesia,49,"TV Dramas",1
PHL,Philippines,45,Thrillers,1
RUS,Russia,17,Docuseries,1
RUS,Russia,17,"Science & Nature TV",1
FRA,France,227,"Science & Nature TV",1
PRT,Portugal,4,Comedies,1
EGY,Egypt,53,"TV Sci-Fi & Fantasy",1
EGY,Egypt,53,"Crime TV Shows",1
CHE,Switzerland,15,"Action & Adventure",1
CHE,Switzerland,15,"Sci-Fi & Fantasy",1
ARE,"United Arab Emirates",19,"Crime TV Shows",1
ARE,"United Arab Emirates",19,"International TV Shows",1
ARE,"United Arab Emirates",19,"TV Dramas",1
SEN,Senegal,2,Documentaries,1
KHM,Cambodia,3,"Children & Family Movies",1
KHM,Cambodia,3,Comedies,1
ZAF,"South Africa",25,"Crime TV Shows",2
ITA,Italy,55,"Crime TV Shows",1
ZAF,"South Africa",25,Docuseries,1
GEO,Georgia,2,Documentaries,1
NLD,Netherlands,31,"Stand-Up Comedy",1
IND,India,748,"Stand-Up Comedy & Talk Shows",1
FIN,Finland,6,"Sports Movies",1
COL,Colombia,30,Docuseries,1
NOR,Norway,17,"TV Comedies",1
BRA,Brazil,56,"Romantic Movies",1
ZAF,"South Africa",25,Thrillers,1
ARG,Argentina,61,"Kids' TV",1
URY,Uruguay,7,"Independent Movies",1
RUS,Russia,17,"Children & Family Movies",1
KOR,"South Korea",133,Documentaries,2
WSM,Samoa,1,Documentaries,1
WSM,Samoa,1,"Sports Movies",1
UKR,Ukraine,2,"International TV Shows",1
UKR,Ukraine,2,"TV Comedies",1
RUS,Russia,17,"Romantic TV Shows",1
DEU,Germany,122,"TV Comedies",2
JPN,Japan,161,"Classic Movies",2
ZAF,"South Africa",25,"Horror Movies",1
BRA,Brazil,56,"Sports Movies",1
ITA,Italy,55,"Spanish-Language TV Shows",1
NPL,Nepal,2,Comedies,2
NPL,Nepal,2,Dramas,1
NPL,Nepal,2,"International Movies",2
DEU,Germany,122,"LGBTQ Movies",1
FRA,France,227,"Faith & Spirituality",1
IRL,Ireland,24,"Faith & Spirituality",1
MEX,Mexico,107,"Classic & Cult TV",2
TUR,Turkey,79,"Sports Movies",1
JPN,Japan,161,Movies,2
ZAF,"South Africa",25,"TV Comedies",1
NLD,Netherlands,31,"Crime TV Shows",1
HUN,Hungary,3,"Romantic Movies",1
KOR,"South Korea",133,Movies,1
FRA,France,227,Movies,1
SAU,"Saudi Arabia",2,"International TV Shows",1
SAU,"Saudi Arabia",2,"TV Dramas",1
NPL,Nepal,2,"Action & Adventure",1
ESP,Spain,155,"Teen TV Shows",1
