code,name,freq,listed_in,amount
CAN,Canada,228,"TV Action & Adventure",2
GBR,"United Kingdom",471,"TV Action & Adventure",3
USA,"United States",2054,"TV Action & Adventure",21
CAN,Canada,228,"TV Comedies",12
GBR,"United Kingdom",471,"TV Comedies",11
FRA,France,227,"Action & Adventure",14
IND,India,748,Thrillers,63
JPN,Japan,161,"Crime TV Shows",11
JPN,Japan,161,"TV Dramas",18
HKG,"Hong Kong",96,"Action & Adventure",64
CHN,China,111,"Action & Adventure",47
HKG,"Hong Kong",96,Dramas,27
CHN,China,111,Dramas,26
HKG,"Hong Kong",96,"International Movies",81
CHN,China,111,"International Movies",59
KOR,"South Korea",133,Dramas,23
KOR,"South Korea",133,"International Movies",33
KOR,"South Korea",133,"Romantic Movies",1
CAN,Canada,228,Comedies,63
CAN,Canada,228,"Romantic Movies",16
NZL,"New Zealand",17,"Action & Adventure",3
ZAF,"South Africa",25,"Action & Adventure",8
CAN,Canada,228,"International Movies",42
NZL,"New Zealand",17,"International Movies",7
CAN,Canada,228,"Sci-Fi & Fantasy",15
NZL,"New Zealand",17,"Sci-Fi & Fantasy",1
ZAF,"South Africa",25,"Sci-Fi & Fantasy",2
USA,"United States",2054,Movies,22
CAN,Canada,228,"Children & Family Movies",40
MEX,Mexico,107,"Horror Movies",4
AUS,Australia,97,"Horror Movies",3
JPN,Japan,161,"Children & Family Movies",7
KOR,"South Korea",133,"Children & Family Movies",3
JPN,Japan,161,Comedies,4
KOR,"South Korea",133,Comedies,8
GBR,"United Kingdom",471,"Reality TV",17
ESP,Spain,155,"International Movies",107
USA,"United States",2054,"Science & Nature TV",24
LIE,Liechtenstein,1,"Classic Movies",1
GBR,"United Kingdom",471,"Classic Movies",8
LIE,Liechtenstein,1,Dramas,1
ITA,Italy,55,Dramas,20
LIE,Liechtenstein,1,"Romantic Movies",1
ITA,Italy,55,"Romantic Movies",2
HKG,"Hong Kong",96,"Classic Movies",1
ITA,Italy,55,"LGBTQ Movies",1
ITA,Italy,55,Comedies,6
CAN,Canada,228,"Horror Movies",18
FRA,France,227,"Horror Movies",7
ESP,Spain,155,Thrillers,27
FRA,France,227,Thrillers,21
ESP,Spain,155,"Crime TV Shows",12
ESP,Spain,155,"International TV Shows",24
ESP,Spain,155,"Spanish-Language TV Shows",14
MEX,Mexico,107,Comedies,16
MEX,Mexico,107,"Classic Movies",1
MEX,Mexico,107,Dramas,30
JPN,Japan,161,"Romantic TV Shows",12
JPN,Japan,161,"Reality TV",2
HKG,"Hong Kong",96,Comedies,30
GBR,"United Kingdom",471,Documentaries,103
