code,name,freq,listed_in,amount,type_i
COL,Colombia,30,Documentaries,2,Movie
COL,Colombia,30,"International Movies",10,Movie
ARG,Argentina,61,"Children & Family Movies",2,Movie
ARG,Argentina,61,"Music & Musicals",3,Movie
ESP,Spain,155,"Children & Family Movies",6,Movie
ESP,Spain,155,Comedies,39,Movie
IRL,Ireland,24,Comedies,4,Movie
IRL,Ireland,24,"Romantic Movies",4,Movie
IND,India,748,Documentaries,25,Movie
MEX,Mexico,107,"Crime TV Shows",16,"TV Show"
JPN,Japan,161,"Romantic Movies",3,Movie
THA,Thailand,51,"International TV Shows",13,"TV Show"
THA,Thailand,51,"TV Action & Adventure",2,"TV Show"
THA,Thailand,51,"TV Dramas",7,Movie
USA,"United States",2054,"Music & Musicals",71,Movie
FRA,France,227,"Stand-Up Comedy",4,Movie
THA,Thailand,51,"Romantic TV Shows",5,"TV Show"
THA,Thailand,51,"TV Comedies",2,Movie
MEX,Mexico,107,Docuseries,3,"TV Show"
ARG,Argentina,61,Docuseries,1,"TV Show"
USA,"United States",2054,"Spanish-Language TV Shows",16,"TV Show"
USA,"United States",2054,"LGBTQ Movies",36,Movie
CHN,China,111,"Romantic TV Shows",18,"TV Show"
CHN,China,111,"Teen TV Shows",2,"TV Show"
GBR,"United Kingdom",471,"British TV Shows",113,"TV Show"
GBR,"United Kingdom",471,Docuseries,70,"TV Show"
GBR,"United Kingdom",471,"International TV Shows",65,"TV Show"
CAN,Canada,228,"Kids' TV",17,"TV Show"
GBR,"United Kingdom",471,"Kids' TV",8,"TV Show"
CAN,Canada,228,"TV Action & Adventure",2,"TV Show"
GBR,"United Kingdom",471,"TV Action & Adventure",3,"TV Show"
USA,"United States",2054,"TV Action & Adventure",21,"TV Show"
CAN,Canada,228,"TV Comedies",12,Movie
GBR,"United Kingdom",471,"TV Comedies",11,Movie
FRA,France,227,"Action & Adventure",14,Movie
IND,India,748,Thrillers,63,Movie
JPN,Japan,161,"Crime TV Shows",11,"TV Show"
JPN,Japan,161,"TV Dramas",18,Movie
HKG,"Hong Kong",96,"Action & Adventure",64,Movie
CHN,China,111,"Action & Adventure",47,Movie
HKG,"Hong Kong",96,Dramas,27,Movie
CHN,China,111,Dramas,26,Movie
HKG,"Hong Kong",96,"International Movies",81,Movie
CHN,China,111,"International Movies",59,Movie
KOR,"South Korea",133,Dramas,23,Movie
KOR,"South Korea",133,"International Movies",33,Movie
KOR,"South Korea",133,"Romantic Movies",1,Movie
CAN,Canada,228,Comedies,63,Movie
CAN,Canada,228,"Romantic Movies",16,Movie
NZL,"New Zealand",17,"Action & Adventure",3,Movie
ZAF,"South Africa",25,"Action & Adventure",8,Movie
CAN,Canada,228,"International Movies",42,Movie
NZL,"New Zealand",17,"International Movies",7,Movie
CAN,Canada,228,"Sci-Fi & Fantasy",15,Movie
NZL,"New Zealand",17,"Sci-Fi & Fantasy",1,Movie
ZAF,"South Africa",25,"Sci-Fi & Fantasy",2,Movie
USA,"United States",2054,Movies,22,Movie
CAN,Canada,228,"Children & Family Movies",40,Movie
MEX,Mexico,107,"Horror Movies",4,Movie
AUS,Australia,97,"Horror Movies",3,Movie
JPN,Japan,161,"Children & Family Movies",7,Movie
KOR,"South Korea",133,"Children & Family Movies",3,Movie
JPN,Japan,161,Comedies,4,Movie
KOR,"South Korea",133,Comedies,8,Movie
GBR,"United Kingdom",471,"Reality TV",17,"TV Show"
ESP,Spain,155,"International Movies",107,Movie
USA,"United States",2054,"Science & Nature TV",24,"TV Show"
LIE,Liechtenstein,1,"Classic Movies",1,Movie
GBR,"United Kingdom",471,"Classic Movies",8,Movie
LIE,Liechtenstein,1,Dramas,1,Movie
ITA,Italy,55,Dramas,20,Movie
LIE,Liechtenstein,1,"Romantic Movies",1,Movie
ITA,Italy,55,"Romantic Movies",2,Movie
HKG,"Hong Kong",96,"Classic Movies",1,Movie
ITA,Italy,55,"LGBTQ Movies",1,Movie
ITA,Italy,55,Comedies,6,Movie
CAN,Canada,228,"Horror Movies",18,Movie
FRA,France,227,"Horror Movies",7,Movie
ESP,Spain,155,Thrillers,27,Movie
FRA,France,227,Thrillers,21,Movie
ESP,Spain,155,"Crime TV Shows",12,"TV Show"
ESP,Spain,155,"International TV Shows",24,"TV Show"
ESP,Spain,155,"Spanish-Language TV Shows",14,"TV Show"
MEX,Mexico,107,Comedies,16,Movie
MEX,Mexico,107,"Classic Movies",1,Movie
MEX,Mexico,107,Dramas,30,Movie
JPN,Japan,161,"Romantic TV Shows",12,"TV Show"
JPN,Japan,161,"Reality TV",2,"TV Show"
HKG,"Hong Kong",96,Comedies,30,Movie
GBR,"United Kingdom",471,Documentaries,103,Movie
USA,"United States",2054,"Faith & Spirituality",27,Movie
GBR,"United Kingdom",471,"Faith & Spirituality",3,Movie
AUS,Australia,97,"Action & Adventure",9,Movie
ESP,Spain,155,"TV Dramas",7,Movie
ARG,Argentina,61,"TV Dramas",2,Movie
FRA,France,227,Comedies,35,Movie
FRA,France,227,"Romantic Movies",16,Movie
ARG,Argentina,61,"Stand-Up Comedy",7,Movie
TWN,Taiwan,72,"Crime TV Shows",4,"TV Show"
TWN,Taiwan,72,"TV Action & Adventure",3,"TV Show"
ISR,Israel,20,Dramas,7,Movie
ISR,Israel,20,"International Movies",12,Movie
BRA,Brazil,56,"Crime TV Shows",3,"TV Show"
TUR,Turkey,79,Dramas,17,Movie
TUR,Turkey,79,"International Movies",60,Movie
TUR,Turkey,79,Thrillers,4,Movie
DEU,Germany,122,Documentaries,16,Movie
ARG,Argentina,61,"Crime TV Shows",3,"TV Show"
FRA,France,227,"Reality TV",1,"TV Show"
ESP,Spain,155,"Reality TV",1,"TV Show"
USA,"United States",2054,"TV Horror",10,"TV Show"
CHE,Switzerland,15,Comedies,3,Movie
CHE,Switzerland,15,Dramas,10,Movie
CHE,Switzerland,15,"International Movies",11,Movie
CHN,China,111,"TV Action & Adventure",5,"TV Show"
CHN,China,111,"TV Mysteries",1,"TV Show"
MYS,Malaysia,19,"Horror Movies",4,Movie
SGP,Singapore,25,"Horror Movies",3,Movie
MYS,Malaysia,19,"International Movies",13,Movie
SGP,Singapore,25,"International Movies",12,Movie
LUX,Luxembourg,7,"Action & Adventure",1,Movie
LUX,Luxembourg,7,Dramas,6,Movie
ESP,Spain,155,"Action & Adventure",5,Movie
DEU,Germany,122,"Independent Movies",20,Movie
AUT,Austria,7,Dramas,4,Movie
EGY,Egypt,53,Dramas,18,Movie
AUT,Austria,7,"Independent Movies",3,Movie
EGY,Egypt,53,"Independent Movies",3,Movie
AUT,Austria,7,"International Movies",5,Movie
EGY,Egypt,53,"International Movies",43,Movie
GBR,"United Kingdom",471,"Independent Movies",48,Movie
LUX,Luxembourg,7,"International Movies",4,Movie
LUX,Luxembourg,7,Thrillers,1,Movie
BEL,Belgium,59,Thrillers,7,Movie
ZAF,"South Africa",25,Comedies,3,Movie
ZAF,"South Africa",25,"Romantic Movies",2,Movie
TUR,Turkey,79,Comedies,45,Movie
TUR,Turkey,79,"Romantic Movies",16,Movie
IND,India,748,"Kids' TV",4,"TV Show"
IND,India,748,"TV Comedies",13,Movie
