year,TV-MA,TV-14,TV-PG,TV-G,TV-Y,TV-Y7,TV-Y7-FV,NR,R,Unknown
2013,1,0,1,0,0,0,0,1,0,0
2015,3,2,5,4,0,1,1,0,0,0
2016,22,66,21,2,4,4,19,0,1,1
2017,54,89,40,6,11,8,2,5,0,0
2018,126,73,36,6,5.9,3,2,0,1
2019,166,130,45,12,11,11,5,0,1,0
