year	TV-MA	TV-14	R	PG-13	TV-PG	PG	TV-G	NR	G	TV-Y7	TV-Y7-FV	TV-Y	UR	NC-17	Unknown
2013	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
2014	5	1	0	0	2	3	0	5	1	1	0	1	0	0	0
2015	10	6	3	2	1	2	3	18	1	1	1	2	0	0	0
2016	68	45	14	6	26	4	2	60	2	8	8	0	1	1	2
2017	334	214	70	27	107	21	16	55	4	11	5	11	2	0	2
2018	407	342	130	55	140	36	21	32	13	16	1	6	0	0	0
2019	365	298	213	134	106	89	26	12	9	7	5	4	4	1	0
